group_name,person
Center for Bits and Atoms,Kenny Cheung
Center for Bits and Atoms,John Paul DiFrancesco
Center for Bits and Atoms,Ara Knaian
Object-Based Media,Edwina Portocarrero
Object-Based Media,Everett Lawson
Object-Based Media,Kristin Hall
Object-Based Media,Laura Perovich
Object-Based Media,Nickolaos Savidis
Object-Based Media,Pedro Colon-Hernandez
Social Computing,Amanda Masson
Center for Bits and Atoms,Matthew Keeter
Center for Bits and Atoms,Hongzhi Tang
Center for Bits and Atoms,Ernest Rehmi Post
Center for Bits and Atoms,Jean-Luc Pierite
Center for Bits and Atoms,Kailing Chen
Object-Based Media,Philippa Mothersill
Object-Based Media,Sunny Jolly
Object-Based Media,Andy Bardagjy
Object-Based Media,Arata Miyamoto
Social Computing,Sepandar Kamvar
Social Computing,Caroline Jaffe
Social Computing,Dina Amsterdam
Social Computing,Gal Koren
Social Computing,Gloria Mark
Social Computing,Jia Zhang
Social Computing,Kim Holleman
Center for Bits and Atoms,Michael Benson
Center for Bits and Atoms,Nan Zhao
Center for Bits and Atoms,Amy Sun
Center for Bits and Atoms,David S. Kong
Center for Bits and Atoms,Fei Tao
Object-Based Media,Brandon Taylor
Object-Based Media,Caroline Rozendo
Object-Based Media,Carrie Fowle
Object-Based Media,Daniel Smalley
Object-Based Media,Daniele J. Dubois
Object-Based Media,David Cranor
Object-Based Media,Diane Hirsh
Object-Based Media,Ermal Dreshaj
Object-Based Media,Eun Dong Shin
Object-Based Media,Jacky Mallett
Object-Based Media,Jeevan J. Kalanithi
Object-Based Media,Kazuki Nakamura
Object-Based Media,Lingyun Sun
Object-Based Media,Paula Dawson
Object-Based Media,Quinn Smithwick
Social Computing,Kimberly Smith
Center for Bits and Atoms,Jelena Mandic
Center for Bits and Atoms,Kerry E. Lynn
Center for Bits and Atoms,Patricia Tolan
Object-Based Media,Romulo Del Tedesco Zamberlan
Object-Based Media,Sang-Tae Park
Social Computing,Kristina Bonikowski
Social Computing,Nazmus Saquib
Social Computing,Cameron Snaith
Social Computing,Elizabeth Christoforetti
Social Computing,Jay Liddell
Social Computing,Joshua Sarantitis
Social Computing,Katelyn Ryan
Social Computing,Melody Abedinejad
Social Computing,Neil Molino
Social Computing,Pranav Ramkrishnan
Center for Bits and Atoms,Saravanakumar Narayanan
Center for Bits and Atoms,Theresa Tomic
Center for Bits and Atoms,Yael G. Maguire
Center for Bits and Atoms,Yedidya Vardi
Sculpting Evolution,Dana Gretton
Object-Based Media,Santiago Eloy Alfaro
Object-Based Media,Stefan P. Agamanolis
Object-Based Media,Valerio Panzica La Manna
Object-Based Media,Yukiko Oshio
Playful Systems,Amanda Masson
Social Computing,Ramell Ross
Social Computing,Samantha Ainsley
Social Computing,Stephen Rife
Social Computing,Sakshi Gupta
Social Computing,Salman Ahmad
Social Computing,Yonatan Cohen
Social Computing,Shantell Martin
Social Computing,Wesam Manassra
Sculpting Evolution,Jeantine Lunshof
Sculpting Evolution,Ashton Strait
Sculpting Evolution,Christopher Burtner
Sculpting Evolution,Stephen Von Stetina
Sculpting Evolution,Kristina Bonikowski
Sculpting Evolution,Kevin Esvelt
Sculpting Evolution,Cody Gilleland
Sculpting Evolution,Devora Najjar
Sculpting Evolution,Erika Alden DeBenedictis
Playful Systems,Kevin Slavin
Playful Systems,Benjamin Berman
Playful Systems,Kim Holleman
Playful Systems,Kristina Bonikowski
Playful Systems,Maurice Ashley
Playful Systems,Michael Lazer Walker
Playful Systems,Miguel Perez
Playful Systems,Che-Wei Wang
Playful Systems,Gabriel Miller
Terrestrial Sensing,Aymar Guespereau
Sculpting Evolution,Georgiana Ujomu
Playful Systems,Gregory Borenstein
Playful Systems,Janice Wang
Playful Systems,Jonathan Bobrow
Playful Systems,Joscha Bach
Playful Systems,Julie Legault
Playful Systems,Kamal Farah
Playful Systems,Lydia Smith
Playful Systems,Melody Abedinejad
Terrestrial Sensing,Hiroshi Ishii
Terrestrial Sensing,Ramesh Raskar
Terrestrial Sensing,Pattie Maes
Sculpting Evolution,Joanna Buchthal
Sculpting Evolution,Jianghong Min
Playful Systems,Shella Saintcyr
Playful Systems,Shoshannah Tekofsky
Playful Systems,Taylor Levy
Terrestrial Sensing,Joseph A. Paradiso
Electronic Publishing,Sunil Vemuri
Electronic Publishing,Joan M DiMicco
Electronic Publishing,Cameron A. Marlow
Electronic Publishing,Carla Gomez-Monroy
Electronic Publishing,Luke O. Ouko
Electronic Publishing,Scott G. Vercoe
Electronic Publishing,Walter Bender
Advancing Wellbeing,Rosalind W. Picard
Advancing Wellbeing,Pattie Maes
Advancing Wellbeing,Hiroshi Ishii
Advancing Wellbeing,Karthik Dinakar
Advancing Wellbeing,Ramesh Raskar
Code Next,Julia Schachnik
Visiting Appointments,Ana Lopez
Hundred-Dollar Laptop,Michail Bletsas
Code Next,"Colin ""Topper"" Carew"
Code Next,Beckett Dunning
Code Next,Lara Holt
Visiting Appointments,Matt Dunne
Visiting Appointments,Mark Halko
Visiting Appointments,Haijing Hao
Visiting Appointments,Yasushi Ikeda
